"","organisation_country","organisation_name","no_projects"
"1806",NA,"DYADIC Research Impacts Limited",1
"1807",NA,"Early Childhood Dev Network (ECDAN)",1
"1808",NA,"EARTH-I",1
"1809",NA,"East African Community",1
"1810",NA,"Eastern Med Public Health Network",1
"1811",NA,"Eawag",1
"1812",NA,"ECOMETRICA",1
"1813",NA,"EconInsight Center for Development Research",1
"1814",NA,"ECSA Health Community",1
"1815",NA,"Eijkman-Oxford Clinical Research Unit",1
"1816",NA,"Energy 4 Impact",1
"1817",NA,"Enrique Seira",1
"1818",NA,"Ensibuuko",1
"1819",NA,"Enso Trading Limited",1
"1820",NA,"ENVIRONMENT SYSTEMS",1
"1821",NA,"EOSPHERE LIMITED",1
"1822",NA,"Epicentre",1
"1823",NA,"Epicentre Mbarara Research Base",1
"1824",NA,"Erasmus University Medical Center",1
"1825",NA,"Erasmus University Rotterdam (EUR)",1
"1826",NA,"Esa Unggul University",1
"1827",NA,"ESPRE",1
"1828",NA,"EST",1
"1829",NA,"Ethical Trading Initiative",1
"1830",NA,"Evangelical University in Africa (UEA)",1
"1831",NA,"Evidence Action",1
"1832",NA,"Evidence for Development",1
"1833",NA,"EXACTEARTH EUROPE LTD",1
"1834",NA,"Faculty of Medicine & Odontostomatology (FMOS) of Bamako University",1
"1835",NA,"Federal District Health Secretariat",1
"1836",NA,"Federal Uni of Sao Francisco Valley",1
"1837",NA,"Federal Uni of the State of Rio (UNIRIO)",1
"1838",NA,"Federal Univ of Southern Bahia (UFSB)",1
"1839",NA,"Federal University of Amapá",1
"1840",NA,"Federal University of Piaui",1
"1841",NA,"Federal University of Sergipe",1
"1842",NA,"Federal University of Technology Akure",1
"1843",NA,"Federal University of Technology, Owerri",1
"1844",NA,"Femme International",1
"1845",NA,"Fernandez Foundation",1
"1846",NA,"FETPAFI (Field Epid Training Program)",1
"1847",NA,"FHI Clinical",1
"1848",NA,"Finovista",1
"1849",NA,"Fisheries and Technical Economic College",1
"1850",NA,"Fondation Paul Ango Ela",1
"1851",NA,"Food and Nutrition Res Inst (FNRI)",1
"1852",NA,"Foro Ciudades Para La Vida",1
"1853",NA,"Fosera Solarsystems GmbH & Co.KGaA",1
"1854",NA,"Foundation for Innovation and Tech Trans",1
"1855",NA,"Foundation for Innovative New Diagnostic",1
"1856",NA,"Foundation for Reconciliation",1
"1857",NA,"Foundation for Research in HealthSystems",1
"1858",NA,"Friends for International TB Relief",1
"1859",NA,"Frimley Park Hospital NHS Foundat Trust",1
"1860",NA,"Fundacao Manhic",1
"1861",NA,"Gamos",1
"1862",NA,"Garhwal Community Development & Welfare",1
"1863",NA,"Gauhati Medical College & Hospital",1
"1864",NA,"Gendev",1
"1865",NA,"General Statistics Office, Ministry of Planning and Investment",1
"1866",NA,"Geneva Academy",1
"1867",NA,"Geneva Call",1
"1868",NA,"GeoPoll",1
"1869",NA,"GERES",1
"1870",NA,"German Cancer Research Centre",1
"1871",NA,"Getulio Vargas Foundation FGV",1
"1872",NA,"Gio Linh High School",1
"1873",NA,"Global Business Labs",1
"1874",NA,"Global Initiative on Psychiatry–Tbilisi",1
"1875",NA,"Gommyr Power Networks Limited",1
"1876",NA,"Government Medical College Nagpur",1
"1877",NA,"Grameen Bikash Foundation",1
"1878",NA,"Green Start ups",1
"1879",NA,"Grupo de Analisis para el Desarollo",1
"1880",NA,"GSMA Foundation",1
"1881",NA,"Gulu Regional Referral Hospital",1
"1882",NA,"Guru Gobind Singh Indraprastha Uni",1
"1883",NA,"H R WALLINGFORD LTD",1
"1884",NA,"H2go Power Ltd",1
"1885",NA,"Hala Systems, Inc.",1
"1886",NA,"Hanoi University of Science & Technology",1
"1887",NA,"Harvard Global",1
"1888",NA,"Harvard Global Research and Support Services Inc.",1
"1889",NA,"Harvard T.H. Chan School of Public Health",1
"1890",NA,"Havana Univ of Tech J. A. Echeverria",1
"1891",NA,"Health Department Punjab",1
"1892",NA,"Health Policy Research Group",1
"1893",NA,"HEP Vaud (Univ of Teacher Education VD)",1
"1894",NA,"HERD international",1
"1895",NA,"Hester Biosciences Limited",1
"1896",NA,"Hivos",1
"1897",NA,"HIVOS",1
"1898",NA,"Hospital for Sick Children - Toronto",1
"1899",NA,"Hospital Raja Perempuan Zainab (II)",1
"1900",NA,"HRIDAY",1
"1901",NA,"Ibis Reproductive Health",1
"1902",NA,"ICARDA Int Ctr for Agri Res in Dry Areas",1
"1903",NA,"ICC (Private Inst for Climate Change)",1
"1904",NA,"ICCROM",1
"1905",NA,"icddr,b",1
"1906",NA,"Ichuli Institute",1
"1907",NA,"iDE",1
"1908",NA,"IECS Inst for Clinical Effect &Health Po",1
"1909",NA,"IFMR LEAD",1
"1910",NA,"IGDP",1
"1911",NA,"IISER Mohali",1
"1912",NA,"IISER Pune",1
"1913",NA,"IMC Worldwide LTD",1
"1914",NA,"IMPACT Initiatives",1
"1915",NA,"Imperial College of Science, Technology and Medicine",1
"1916",NA,"Imutex Limited",1
"1917",NA,"INEHD",1
"1918",NA,"Initiatives for Media Development IMdev",1
"1919",NA,"Innov and Scientific Research Cluster",1
"1920",NA,"Innvotek Ltd",1
"1921",NA,"INRB (National Inst for Biomed Research)",1
"1922",NA,"INRSP (Nat Inst of Public Health Res)",1
"1923",NA,"Ins of Empirical Res in Political Econom",1
"1924",NA,"Insecurity Insight",1
"1925",NA,"INSIVUMEH (Nat Inst of Seismology)",1
"1926",NA,"Inst of Vaccines & Biological Medical",1
"1927",NA,"Institución Universitaria Colegio Mayor",1
"1928",NA,"Institute for Empirical Research in Political Economy (IERPE)",1
"1929",NA,"Institute for Financial Management and Research",1
"1930",NA,"Institute for Financial Management and Research (IFMR), Daayitwa",1
"1931",NA,"Institute for Health Science Research",1
"1932",NA,"Institute for International Economic Studies (IIES)",1
"1933",NA,"Institute for Transportation & Development",1
"1934",NA,"Institute of Development and Economic Alternatives (IDEAS)",1
"1935",NA,"Institute of Energy Study and Research",1
"1936",NA,"Institute of Financial Management and Research",1
"1937",NA,"Institute of Fundamental Studies",1
"1938",NA,"Institute of Genomics and Integrative Bi",1
"1939",NA,"Institute of Nutritional Research (IIN)",1
"1940",NA,"Institute of Psychiatry",1
"1941",NA,"Institute of Public Health Bangalore IPH",1
"1942",NA,"Institute of Social Studies Trust ISST",1
"1943",NA,"Institute of Statistical, Social & Economic Research",1
"1944",NA,"Institute of Statistical, Social and Economic Research",1
"1945",NA,"Institute Pasteur Nha Trang",1
"1946",NA,"Institute Pasteur of Dakar",1
"1947",NA,"Institute Pasteur of Tunis",1
"1948",NA,"Instituto Nacional Cancer (INCA)",1
"1949",NA,"Instituto Nacional de Ciencias Neurologi",1
"1950",NA,"Instituto Nacional de Neurologia",1
"1951",NA,"Instituto Tecnológico Autónomo de México",1
"1952",NA,"INSTUTE FOR ENVIRONMENTAL ANALYTICS",1
"1953",NA,"Int Inst of Trop Agriculture (IITA UK)",1
"1954",NA,"Integrated International, Indigenous Solutions",1
"1955",NA,"Inter-Amercian Development Bank",1
"1956",NA,"Inter University Ctr for Astronomy & Ast",1
"1957",NA,"International Bank for Reconstruction and Development",1
"1958",NA,"International Federation of the Red Cross and Red Crescent (IFRC)",1
"1959",NA,"International Growth Research and Evaluation Center",1
"1960",NA,"International Growth Research and Evaluation Center (IGREC)",1
"1961",NA,"International Inst for Sustainability",1
"1962",NA,"International Institute of Tropical Agriculture (IITA)",1
"1963",NA,"International Livestock Research Institute (ILRI)",1
"1964",NA,"International Maize and Wheat Improvement Center (CIMMYT)",1
"1965",NA,"International Planned Parenthood Federation – Western Hemisphere Region (IPPF/WHR)",1
"1966",NA,"International Potato Center (CIP)",1
"1967",NA,"International Union Against Tuberculosis and Lung Disease (The Union)",1
"1968",NA,"Interuniversity Inst for Res and Develop",1
"1969",NA,"IPA Francophone West Africa",1
"1970",NA,"IPA Myanmar",1
"1971",NA,"IRADE",1
"1972",NA,"IRESSEF (Institute for Health Research)",1
"1973",NA,"ISDI School of Design and Innovation",1
"1974",NA,"ISPONRE (Strat & Policy on Nat Res &Env)",1
"1975",NA,"ISSP (Higher Inst of Population Sciences",1
"1976",NA,"ISTEM",1
"1977",NA,"IUCAA",1
"1978",NA,"J- PAL South Asia",1
"1979",NA,"J-pal Africa",1
"1980",NA,"J-PAL Europe, Paris School of Economics",1
"1981",NA,"J-PAL Global",1
"1982",NA,"Jazz",1
"1983",NA,"JB Roy State Ayurvedic Med Coll & Hosp",1
"1984",NA,"Jenny Aker",1
"1985",NA,"JET Education Service",1
"1986",NA,"JIPMER",1
"1987",NA,"John Innes Centre",1
"1988",NA,"Joint Research Management Office (JRMO) Queen Mary University London",1
"1989",NA,"K-RITH (KwaZulu-Natal Research Inst)",1
"1990",NA,"Kachione, LLC",1
"1991",NA,"Kalinga Institute of Industrial Technolo",1
"1992",NA,"Karachi Medical & Dental College",1
"1993",NA,"Karnataka Vet Anim & Fisheries Sci Univ",1
"1994",NA,"Karolinska Institutet",1
"1995",NA,"Kathmandu Univ School of Medical Science",1
"1996",NA,"Katholieke Universiteit Leuven (KU Leuven)",1
"1997",NA,"Kew Projects Limited",1
"1998",NA,"Kigali Collaborative Research Center",1
"1999",NA,"KIIT School of Public Health (KSPH)",1
"2000",NA,"King Monkut's Univ. Tech. Thonburi",1
"2001",NA,"Kinshasa School of Public Health (KSPH)",1
"2002",NA,"Kinshasa University",1
"2003",NA,"Kisambara Ventures Limited",1
"2004",NA,"Knowledge Platform",1
"2005",NA,"Kofi Annan Institute for Conflict Transformation",1
"2006",NA,"Koltiva",1
"2007",NA,"KSE",1
"2008",NA,"KWS UK Limited",1
"2009",NA,"Lagos State University College of Medicine",1
"2010",NA,"Land O'Lakes Venture37",1
"2011",NA,"lasdel",1
"2012",NA,"Laureate Education",1
"2013",NA,"Lawyers and Doctors for Human Rights",1
"2014",NA,"Lead Anayltics Inc",1
"2015",NA,"Lebanese Center for Policy Studies",1
"2016",NA,"Legume Technology Limited",1
"2017",NA,"Lesaffre International Sarl",1
"2018",NA,"Light for the World International",1
"2019",NA,"Liver Foundation, WestBengal",1
"2020",NA,"Liverpool University",1
"2021",NA,"Lok Chetna Manch",1
"2022",NA,"London School of Economics",1
"2023",NA,"London School of Economics (LSE)",1
"2024",NA,"london school of hygiene and tropical medicine",1
"2025",NA,"London School of Hygiene and Tropical Medicine",1
"2026",NA,"Ludwig Maximilians University Munich",1
"2027",NA,"M-KOPA",1
"2028",NA,"Macfarlane Burnet Institute for Medical Research and Public Health Ltd",1
"2029",NA,"Mahatma Gandhi Medical College & Res Ins",1
"2030",NA,"Mahidol Oxford Tropical Medicine Research Unit - Kinshasa",1
"2031",NA,"Major National University of San Marcos",1
"2032",NA,"Malcolm H. Kerr Carnegie Middle East Center",1
"2033",NA,"MannionDaniels",1
"2034",NA,"Maranhao State University (UEMA)",1
"2035",NA,"MARGE",1
"2036",NA,"Maria and Joao Aleixo Institute",1
"2037",NA,"Marondera University",1
"2038",NA,"Mars Wrigley Confectionery UK Limited",1
"2039",NA,"Marzoeki Mahdi Mental Hospital",1
"2040",NA,"Masinde Muliro Uni of Sci and Tech",1
"2041",NA,"MCI Sante Animale",1
"2042",NA,"Medical Investigations in Health",1
"2043",NA,"Medical Life Sciences Institute",1
"2044",NA,"Meru University of Science & Technology",1
"2045",NA,"Mgov",1
"2046",NA,"Michigan State University",1
"2047",NA,"Micro Insurance Academy",1
"2048",NA,"Mikocheni Agricultural Res Inst MARI",1
"2049",NA,"Mologic Ltd.",1
"2050",NA,"MOMODa Foundation",1
"2051",NA,"Monash Research Office",1
"2052",NA,"Monterrey Institute of Technology",1
"2053",NA,"MOSAIC-Mena",1
"2054",NA,"mpft",1
"2055",NA,"MU-JHU Care Ltd",1
"2056",NA,"Myanmar Institute of Gender Studies",1
"2057",NA,"Mysore Medical College and Research Inst",1
"2058",NA,"Nasionale Navorsingstigting",1
"2059",NA,"Nat Inst for Research in Tuberculosis",1
"2060",NA,"Nat Inst of Agricultural Tech (INTA)",1
"2061",NA,"Nat Inst of Health & Family Wel (NIHFW)",1
"2062",NA,"Nat Institute of Social Affairs (NISA)",1
"2063",NA,"Nat Res Inst of Astronomy and Geophysics",1
"2064",NA,"Nathan Fiala",1
"2065",NA,"National Agrarian University - La Molina",1
"2066",NA,"National Agricultural Research Org -NARO",1
"2067",NA,"National Agriculture Research Organization",1
"2068",NA,"National Centre for Sust. Coastal Mgmt.",1
"2069",NA,"National Environment Trust Fund",1
"2070",NA,"National Heart Foundation Hospital & Res",1
"2071",NA,"National Hospital of Trop Diseases Hanoi",1
"2072",NA,"National Inst for Communicable Diseases",1
"2073",NA,"National Inst for Health & Welfare THL",1
"2074",NA,"National Institute for Biological Standards and Control",1
"2075",NA,"National Institute for Urban Affairs",1
"2076",NA,"National Institute of Meteorology (INAM)",1
"2077",NA,"National Institute of Nutrition - NIN",1
"2078",NA,"National Institute of Rural Development",1
"2079",NA,"National Institute of Study and Research",1
"2080",NA,"National Institute of Vet Research",1
"2081",NA,"National Nutrition Agency  (NaNA)",1
"2082",NA,"National Polytechnic Institute",1
"2083",NA,"National Rice Research Institute (NRRI)",1
"2084",NA,"National Rural Support Programme (NRSP)",1
"2085",NA,"National University Hermilio Valdizan",1
"2086",NA,"National University Micaela Bastidas",1
"2087",NA,"National University of San Martin",1
"2088",NA,"National University of Science & Technol",1
"2089",NA,"National University of Sciences & Tech",1
"2090",NA,"Natl Electronics & Computer Tech Centre",1
"2091",NA,"Natl Intercultural Univ of the Amazon",1
"2092",NA,"Navarra Center for International Development",1
"2093",NA,"NCPD",1
"2094",NA,"NEPAD",1
"2095",NA,"NESELTEC Ltd",1
"2096",NA,"Nestbuilders International",1
"2097",NA,"Network of Migration Research on Africa",1
"2098",NA,"New University of Lisbon",1
"2099",NA,"Newcastle University",1
"2100",NA,"Nexus Clinical Analytics Ltd",1
"2101",NA,"Niab.",1
"2102",NA,"Nkronti Limited",1
"2103",NA,"NLA INTERNATIONAL",1
"2104",NA,"Nossal Institute",1
"2105",NA,"NOVAFRICA",1
"2106",NA,"NYU Abu Dhabi",1
"2107",NA,"Oaktec Limited",1
"2108",NA,"Observatorio do Meio Rural",1
"2109",NA,"Office of the Prime Minster",1
"2110",NA,"OKRA Solar",1
"2111",NA,"ONG Echelle Appui au Développement",1
"2112",NA,"OPM",1
"2113",NA,"Ordnance Survey International Services LTD",1
"2114",NA,"Orenda",1
"2115",NA,"OTT CONSULTING LTD",1
"2116",NA,"Pacific Genetech",1
"2117",NA,"Pankhurt Deveopment Research and Consulting PLC",1
"2118",NA,"Paragonvet Limited",1
"2119",NA,"Paraíba State Health Secretariat",1
"2120",NA,"Parallel Perspective Consulting",1
"2121",NA,"Parent and Child Health Initiative-PACHI",1
"2122",NA,"Paris School of Economics (PSE)",1
"2123",NA,"Paropakar Maternity and Women's Hospital",1
"2124",NA,"Pasteur Institute - Ho Chi Minh City",1
"2125",NA,"PATTIRO Insitute",1
"2126",NA,"PayGo Energy",1
"2127",NA,"Pci Technology Investments Ltd",1
"2128",NA,"Peace and Development Centre",1
"2129",NA,"Pedagogical and Technological University",1
"2130",NA,"Pedro Ruiz Gallo National University",1
"2131",NA,"PEEDA",1
"2132",NA,"People, Energy and Environment Development Association",1
"2133",NA,"Perinatal Research Center Rosario CREP",1
"2134",NA,"Peshawar Medical College",1
"2135",NA,"Pesitho Holding ApS",1
"2136",NA,"Pesitho ApS",1
"2137",NA,"PHASE",1
"2138",NA,"PhaSE Change Material Products Ltd",1
"2139",NA,"Philippine Geographical Society",1
"2140",NA,"Philippine Tuberculosis Society, Inc.",1
"2141",NA,"Phytobiotechnology Research Foundation",1
"2142",NA,"Plan UK",1
"2143",NA,"Policy Study Institute",1
"2144",NA,"Polytechnic Uni Jose Antonio Echeverria",1
"2145",NA,"Polytechnic University (ESPOL)",1
"2146",NA,"Pontificia Universidade Catolica do Rio de Janeiro (PUC-Rio)",1
"2147",NA,"Power for All",1
"2148",NA,"Practical Action Consulting Private Limited",1
"2149",NA,"Precision Agriculture for Development, Inc.",1
"2150",NA,"President's Office Regional Administrati",1
"2151",NA,"PricewaterhouseCoopers TZ",1
"2152",NA,"Professional Institute For Development And Socio-Environmental Management",1
"2153",NA,"Progressive Health Partnership",1
"2154",NA,"Provenance Partners  Limited",1
"2155",NA,"Provenance Partners Limited",1
"2156",NA,"Psecc Ltd",1
"2157",NA,"Pst Sensors Europe Limited",1
"2158",NA,"Public Policy Institute",1
"2159",NA,"Q&A Inc",1
"2160",NA,"Qbots Energy Ltd",1
"2161",NA,"Queen's University at Kingston",1
"2162",NA,"Queen Margaret University, UK",1
"2163",NA,"Rafael Landivar University",1
"2164",NA,"Rail Vision Europe Ltd",1
"2165",NA,"Real Medicine Foundation",1
"2166",NA,"Red Cross Red Crescent Climate Centre",1
"2167",NA,"Redes Sostenibilidad Pesquera",1
"2168",NA,"Reemi Charitable Trust",1
"2169",NA,"Regional Occupational Health Centre",1
"2170",NA,"Rene Rachou Institute",1
"2171",NA,"Research centre SAZU",1
"2172",NA,"Research Initiatives for Social Development (RISD)",1
"2173",NA,"Research Inst in Health Sciences",1
"2174",NA,"Resilience Development Initiative",1
"2175",NA,"REZATEC",1
"2176",NA,"Rift Valley Institute",1
"2177",NA,"Rising Academy Network (SL) Limited",1
"2178",NA,"RMI",1
"2179",NA,"Rob Byrne - Consultant",1
"2180",NA,"Ross University Sch of Medicine",1
"2181",NA,"Royal College of Surgeons England",1
"2182",NA,"Rsk Adas Limited",1
"2183",NA,"RUFORUM Africa",1
"2184",NA,"Rural Electrification Authority",1
"2185",NA,"RWI - Leibniz Institute for Economic Research",1
"2186",NA,"S-VYASA University",1
"2187",NA,"Sabanci University",1
"2188",NA,"Samad Power Ltd",1
"2189",NA,"San Cristobal of Huamanga University",1
"2190",NA,"Sanpasitthiprasong Hospital",1
"2191",NA,"Santa Fe de Bogota Foundation (FSFB)",1
"2192",NA,"Santiago de Cali University",1
"2193",NA,"Sao Paulo School of Economics (EESP)",1
"2194",NA,"SATELLITE APPLICATIONS CATAPULT",1
"2195",NA,"SATELLITE OCEANOGRAPHIC CONSULTANTS",1
"2196",NA,"Scene Connect Ltd",1
"2197",NA,"ScholarX Technologies",1
"2198",NA,"SCHOOL OF ADVANCED STUDY, UNIVERSITY OF LONDON",1
"2199",NA,"School of Planning & Architecture Delhi",1
"2200",NA,"Sciences Po Bordeaux",1
"2201",NA,"Sciences Po Paris",1
"2202",NA,"SCODE",1
"2203",NA,"Selian Agricultural Research Center",1
"2204",NA,"Served on Salt",1
"2205",NA,"SESCOM",1
"2206",NA,"Shack / Slum Dwellers International",1
"2207",NA,"Shahjalal University of Science & Tech",1
"2208",NA,"SHARE (Sci Health Allied Res Education)",1
"2209",NA,"SHM Foundation",1
"2210",NA,"Shortlist Professionals Ltd",1
"2211",NA,"SignAble",1
"2212",NA,"Signs Media",1
"2213",NA,"SIPRI",1
"2214",NA,"Smart Villages Research Group ltd",1
"2215",NA,"Smart Villages Research Group Ltd",1
"2216",NA,"SOAS University of London",1
"2217",NA,"Social Development International",1
"2218",NA,"Sousse University",1
"2219",NA,"South Point Local Knowledge Research Ctr",1
"2220",NA,"Southasia Institute of Advanced Studies",1
"2221",NA,"Southern Scientific University",1
"2222",NA,"SPARC",1
"2223",NA,"St Francis College of Health, Allied Sci",1
"2224",NA,"St.Paul's Hospital Millennium Medical Co",1
"2225",NA,"START Network",1
"2226",NA,"State Department of Health Sao Paulo",1
"2227",NA,"STATE SPECIALIST HOSPITAL",1
"2228",NA,"State Univ of Mato Grosso do Sul (UEMS)",1
"2229",NA,"Steama Company Limited",1
"2230",NA,"Steamology Motion Limited",1
"2231",NA,"STFC - LABORATORIES",1
"2232",NA,"Sun Buckets, Inc.",1
"2233",NA,"Sunphase",1
"2234",NA,"Sustainable Environment & Ecological Development Society (SEEDS)",1
"2235",NA,"Sustainable OneWorld Technologies CIC",1
"2236",NA,"Swinburne Uni of Tech (Sarawak Campus)",1
"2237",NA,"Swiss Federal Institute of Technology (ETH), Zurich",1
"2238",NA,"Synaptec Ltd",1
"2239",NA,"Synergy for Justice Ltd",1
"2240",NA,"Taghyeer Organisation (We Love Reading)",1
"2241",NA,"Tata Education and Development Trust",1
"2242",NA,"TaTEDO",1
"2243",NA,"Teachers College, Columbia University",1
"2244",NA,"TENN",1
"2245",NA,"The Aurum Institute",1
"2246",NA,"THE BRITISH MUSEUM",1
"2247",NA,"The Chancellor Masters and Scholars of the University of Oxford",1
"2248",NA,"The College of Staten Island",1
"2249",NA,"The Energy and Resources Institute (TERI)",1
"2250",NA,"The Global LPG Partnership, Inc.",1
"2251",NA,"THE INSTITUTE OF CANCER RESEARCH",1
"2252",NA,"THE JAMES HUTTON INSTITUTE",1
"2253",NA,"The Mediae Company",1
"2254",NA,"The National Malaria Control Programme",1
"2255",NA,"The Promise Foundation",1
"2256",NA,"The Rosalind Franklin Institute",1
"2257",NA,"The Royal Institution for the Advancement of Learning/McGill University",1
"2258",NA,"The School of the North Border",1
"2259",NA,"The Sumba Foundation",1
"2260",NA,"The University of Chicago, Harris School of Public Policy",1
"2261",NA,"The University of Groningen",1
"2262",NA,"The University of Kurdistan Hewler",1
"2263",NA,"The University of Notre Dame",1
"2264",NA,"The University of Sheffield",1
"2265",NA,"The University of Sydney",1
"2266",NA,"The University of Udayana",1
"2267",NA,"The Wistar Institute of Anatomy & Biolog",1
"2268",NA,"The World Bank",1
"2269",NA,"The Yale Research Initiative on Innovation and Scale",1
"2270",NA,"Tomato Jos",1
"2271",NA,"Training and Research Support Centre",1
"2272",NA,"Transaid",1
"2273",NA,"Transcultural Psychosocial Organisation",1
"2274",NA,"Translational Health Science & Tech Inst",1
"2275",NA,"Tropic Biosciences UK Limited",1
"2276",NA,"UCL",1
"2277",NA,"UCLV",1
"2278",NA,"UiU",1
"2279",NA,"UK CENTRE FOR ECOLOGY AND HYDROLOGY",1
"2280",NA,"ULSTER UNIVERSITY",1
"2281",NA,"UN Centre for Human Settlements",1
"2282",NA,"UNHCR",1
"2283",NA,"Uni of Illinois at Urbana Champaign",1
"2284",NA,"UNITAR",1
"2285",NA,"UNITED NATIONS DEVELOPMENT PROGRAMME|HR WALLINGFORD",1
"2286",NA,"United Nations Res Inst for Social Devel",1
"2287",NA,"Universidade Técnica de Moçambique",1
"2288",NA,"Universitas Muhammadiyah Yogyakarta",1
"2289",NA,"UNIVERSITAT BERN",1
"2290",NA,"Universite Catholique de Louvain",1
"2291",NA,"University Autonomous of Chiapas",1
"2292",NA,"University Felix Houphouet-boigny",1
"2293",NA,"University Foundation Juan N Corpas",1
"2294",NA,"University Gaston Berger - Saint-Louis",1
"2295",NA,"University Hospital Munich",1
"2296",NA,"University Marta Abreu of Las Villas",1
"2297",NA,"University od Desarrollo",1
"2298",NA,"University of California - Berkeley",1
"2299",NA,"UNIVERSITY OF COLORADO",1
"2300",NA,"University of Education Winneba",1
"2301",NA,"University of Electronic Science and Tec",1
"2302",NA,"University of Gaston Berger",1
"2303",NA,"University of Illinois",1
"2304",NA,"University of Jenderal Soedirman",1
"2305",NA,"University of Kabul",1
"2306",NA,"University of Lancaster",1
"2307",NA,"University of Maastricht",1
"2308",NA,"University of Medellin",1
"2309",NA,"University of Montpellier 3 Paul Valery",1
"2310",NA,"University of New South Wales",1
"2311",NA,"University of Nursing, Mandalay",1
"2312",NA,"University of Nursing, Yangon",1
"2313",NA,"University of Paris 1 Pantheon Sorbonne",1
"2314",NA,"University of Passo Fundo",1
"2315",NA,"University of San Carlos Cebu",1
"2316",NA,"University of San Martin de Porres",1
"2317",NA,"University of Sherbrooke",1
"2318",NA,"University of Southern California (USC)",1
"2319",NA,"University of St Martin of Porres",1
"2320",NA,"University of Technology Mara",1
"2321",NA,"University of Virginia (UVA)",1
"2322",NA,"University of Yaounde I",1
"2323",NA,"Universiy of Otago",1
"2324",NA,"Unversiti Sultan Zainal Abidin",1
"2325",NA,"USC Office of Population Studies",1
"2326",NA,"Usmanu Danfodio University",1
"2327",NA,"USTTB (University of STT Bamako)",1
"2328",NA,"UTVCO",1
"2329",NA,"Uyisenga ni Imanzi (UNM)",1
"2330",NA,"Vale Institute of Technology",1
"2331",NA,"Valectus Private Limited",1
"2332",NA,"Value for Women",1
"2333",NA,"Vardmas Mahavir Medical College",1
"2334",NA,"Vceela",1
"2335",NA,"Vectos",1
"2336",NA,"Vetworks Eastern Africa",1
"2337",NA,"Viet Nam National Lung Hospital",1
"2338",NA,"VIGMR",1
"2339",NA,"Village Infrastructure Angels Ltd",1
"2340",NA,"VIRED International",1
"2341",NA,"Visva Bharati University",1
"2342",NA,"Vivekananda Girijana Kalyana Kendra",1
"2343",NA,"VIVID ECONOMICS",1
"2344",NA,"VIVID ECONOMICS|REMOTE SENSING APPLICATIONS CONSULTANTS LIMITED",1
"2345",NA,"VNU Hanoi Univeristy of Science",1
"2346",NA,"Vodacom",1
"2347",NA,"VYXER Research Management and Information Technology Consultancy LTD",1
"2348",NA,"Wageningen University",1
"2349",NA,"WarChild Holland",1
"2350",NA,"Warwick University",1
"2351",NA,"Washington University",1
"2352",NA,"Water and Land Resource Center (WLRC)",1
"2353",NA,"Water Institute",1
"2354",NA,"Waternumbers",1
"2355",NA,"WaterScope",1
"2356",NA,"WBUAFS",1
"2357",NA,"Well Made Strategy",1
"2358",NA,"West African Health  Organization (WAHO)",1
"2359",NA,"Western Cape Government",1
"2360",NA,"Wheeler Institute for Business and Development",1
"2361",NA,"WID Energy Africa",1
"2362",NA,"Winrock International",1
"2363",NA,"Words. Rhythms. Images",1
"2364",NA,"World Food Programme WFP",1
"2365",NA,"World Vision UK",1
"2366",NA,"Wren Media",1
"2367",NA,"Xi'an Jiaotong Liverpool University",1
"2368",NA,"Yangon Technical University",1
"2369",NA,"Yellow Studio Ltd",1
"2370",NA,"Young 1ove",1
"2371",NA,"Youth Development Labs, Inc.",1
"2372",NA,"Zankli Research Centre",1
"2373",NA,"Ziyodullo Shahidi Intl Fdn for Culture",1
"2374",NA,"Zonful Energy",1
"2375",NA,"Zvitambo Ins for Maternal & Child Health",1
